Date,Open,High,Low,Close,Adj Close,Volume,Returns
16-10-2017,49.330002,49.645,48.009998,48.264999,46.96426,1696800,
17-10-2017,48.130001,48.334999,47.244999,47.299999,46.025269,1793200,-1.999373566
18-10-2017,48.060001,48.195,47.435001,47.634998,46.351238,1940000,0.708239207
19-10-2017,47.34,47.830002,46.884998,47.779999,46.492329,1066800,0.304395322
20-10-2017,47.91,48.169998,47.615002,48,46.706398,1119600,0.460439399
23-10-2017,48.150002,48.25,47.330002,47.330002,46.054459,1252000,-1.395823758
24-10-2017,47.724998,47.724998,47.25,47.360001,46.083649,1961200,0.063381485
25-10-2017,46.240002,46.740002,44.535,44.715,43.509933,3711800,-5.584878923
26-10-2017,46.259998,46.43,44.599998,45.095001,43.879692,2203600,0.849826636
27-10-2017,45.185001,46,45.185001,45.965,44.726242,2867200,1.929252375
30-10-2017,46.134998,46.415001,45.330002,45.34,44.118088,1846200,-1.359725237
31-10-2017,45.834999,46.494999,45.775002,46.150002,44.906258,1573800,1.786500811
01-11-2017,46.505001,47.220001,46.325001,46.650002,45.392788,1267000,1.083434741
02-11-2017,46.619999,47.59,46.400002,47.48,46.200413,1240600,1.779192325
03-11-2017,47.490002,47.560001,46.849998,47.105,45.835518,566400,-0.789808957
06-11-2017,47.080002,47.945,47.080002,47.735001,46.448544,748400,1.337447523
07-11-2017,47.490002,47.490002,46.93,47.314999,46.03986,1075200,-0.879863963
08-11-2017,47.66,48.060001,47.389999,47.794998,46.506927,1093600,1.014483971
09-11-2017,47.474998,47.990002,47.139999,47.334999,46.059322,738000,-0.962448024
10-11-2017,47.349998,47.650002,46.91,47.009998,45.743084,786400,-0.686588483
13-11-2017,46.650002,46.869999,46.209999,46.805,45.54361,692800,-0.436074664
14-11-2017,46.59,46.689999,46.205002,46.48,45.227364,844200,-0.694380617
15-11-2017,46.389999,47.099998,46.264999,46.959999,45.694435,977200,1.032717715
16-11-2017,47.474998,47.474998,46.700001,47.264999,45.991203,765600,0.649462019
